Month,Year,Designation,Average Rating,Number of Ratings
December,2010,Local,3.5,2
December,2010,Tourist,3.8,5
December,2011,Local,3.3,3
December,2011,Tourist,3.25,12
December,2012,Local,0,0
December,2012,Tourist,2,1
December,2013,Local,1.5,2
December,2013,Tourist,4.2,6
December,2014,Local,2.5,4
December,2014,Tourist,3.3,9
December,2015,Local,4.3,3
December,2015,Tourist,2.8,6
December,2016,Local,4,4
December,2016,Tourist,3.1,10
December,2017,Local,3.5,2
December,2017,Tourist,4.4,9
